rowid,name,longitude,latitude,description,gx_media_links
77,Llano Del Rio,-117.827083,34.506471999999995,"Wikipedia (http://en.wikipedia.org/wiki/Llano_Del_Rio)

Wikipedia Commons / Binksternet (http://commons.wikimedia.org/wiki/User:Binksternet)",http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/LlanoDelRio1.jpg/800px-LlanoDelRio1.jpg
78,"Lobo, TX",-104.753056,30.814166999999998,"Wikipedia (http://en.wikipedia.org/wiki/Lobo,_Texas)",
79,"Long Point, MA",-70.16879,42.032954,Wikipedia (http://en.wikipedia.org/wiki/Long_Point_(Cape_Cod)ξ,
80,"Los Ojuelos, TX",-98.99638900000001,27.403056,"Wikipedia (http://en.wikipedia.org/wiki/Los_Ojuelos,_Texas)",
81,"Love Canal, NY",-78.94895600000001,43.080518,Wikipedia (http://en.wikipedia.org/wiki/Love_Canal),
82,"Marysville, MT",-112.300278,46.750556,"Wikipedia (http://en.wikipedia.org/wiki/Marysville,_Montana)

Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/CityMeatMarketMarysvilleMontana-Haynes1889.jpg/786px-CityMeatMarketMarysvilleMontana-Haynes1889.jpg
83,"Medicine Mound, TX",-99.59439,34.187391,"Wikipedia (http://en.wikipedia.org/wiki/Medicine_Mound,_Texas)

Wikipedia Commons / M Lenhardt (http://www.flickr.com/people/30514188@N05)",http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Medicine_Mound_gas_station.jpg/800px-Medicine_Mound_gas_station.jpg
84,"Mesquite, TX",-101.630278,32.870278000000006,"Wikipedia (http://en.wikipedia.org/wiki/Mesquite,_Texas_(Borden_County)ξ


Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Mesquite_School_Borden_County_Texas_2010.jpg/800px-Mesquite_School_Borden_County_Texas_2010.jpg
85,"Midland, CA",-114.802222,33.861111,"Wikipedia (http://en.wikipedia.org/wiki/Midland,_California)",
86,"Miner's Delight, WY",-108.68154799999999,42.533109,"Wikipedia (http://en.wikipedia.org/wiki/Miner%27s_Delight,_Wyoming)


Public Domain",http://upload.wikimedia.org/wikipedia/commons/4/46/Miners_delight_cabin.jpg
87,"Nevadaville, CO",-105.53183999999999,39.793925,"Wikipedia (http://en.wikipedia.org/wiki/Nevadaville,_Colorado)",
88,"New Idria, CA",-120.672905,36.415662,"Wikipedia (http://en.wikipedia.org/wiki/New_Idria,_California)


Wikipedia Commons / Jef Poskanzer (http://flickr.com/photos/37996593020@N01)",http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/New_Idria_grounds.jpg/800px-New_Idria_grounds.jpg
89,"Nonesuch Mine, MI",-89.619722,46.755278000000004,Wikipedia (http://en.wikipedia.org/wiki/Nonesuch_Mine),
90,"Okaton, SD",-100.891805,43.886101000000004,"Wikipedia (http://en.wikipedia.org/wiki/Okaton,_SD)",
91,"Palmetto, NV",-117.695365,37.444545,"Wikipedia (http://en.wikipedia.org/wiki/Palmetto,_Nevada)


Check out the ruins in Street View by zooming in on the road.


Wikipedia Commons / Mark Holloway (http://www.flickr.com/people/27000124@N05)",http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Palmetto%2C_Nevada_ghost_town.jpg/798px-Palmetto%2C_Nevada_ghost_town.jpg
92,Panamint City,-117.09501000000002,36.117931,"Wikipedia (http://en.wikipedia.org/wiki/Panamint_City,_California)",
93,"Paradise, KY",-86.983611,37.268056,"Wikipedia (http://en.wikipedia.org/wiki/Paradise,_Kentucky)",
94,"Perky, FL",-81.572637,24.650024,"Wikipedia (http://en.wikipedia.org/wiki/Perky,_Florida)



Wikipedia Commons / Marc Averette (http://en.wikipedia.org/wiki/User:Averette)",http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Sugarloafkeybattower.jpg/450px-Sugarloafkeybattower.jpg
95,"Picher, OK",-94.832778,36.982778,"wikipedia (http://en.wikipedia.org/wiki/Picher,_Oklahoma)",
96,"Piedmont, WY",-110.62586499999999,41.217273999999996,"Wikipedia (http://en.wikipedia.org/wiki/Piedmont,_Wyoming)",
97,"Pithole, PA",-79.580262,41.522748,"Wikipedia (http://en.wikipedia.org/wiki/Pithole,_Pennsylvania)",
98,"Port Wakefield, AK",-153.054743,58.049466,"Wikipedia (http://en.wikipedia.org/wiki/Port_Wakefield,_Alaska)",
99,"Portsmouth, NC",-76.063889,35.069722,"Wikipedia (http://en.wikipedia.org/wiki/Portsmouth,_North_Carolina)",
100,"Radium, MN",-96.61311500000001,48.228218,"Wikipedia (http://en.wikipedia.org/wiki/Radium,_Minnesota)",
101,"Ravanna, KS",-100.37929100000001,38.159186,"Wikipedia (http://en.wikipedia.org/wiki/Ravanna,_Kansas)",
102,"Rice, CA",-114.850278,34.083026000000004,"Wikipedia (http://en.wikipedia.org/wiki/Rice,_California)",
103,"Rhyolite, NV",-116.82941799999999,36.901364,"Wikipedia (http://en.wikipedia.org/wiki/Rhyolite,_NV)

Wikipedia Commons/Tahoenathan (http://commons.wikimedia.org/wiki/User:Tahoenathan)",http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Rhyolite2.jpg/800px-Rhyolite2.jpg
104,"Rocky Bar, ID",-115.28868200000001,43.689381,"Wikipedia (http://en.wikipedia.org/wiki/Rocky_Bar,_Idaho)",
105,"Rocky Springs, MS",-90.808697,32.08898,"Wikipedia (http://en.wikipedia.org/wiki/Rocky_Springs,_Mississippi)",
106,"Shakespeare, NM",-108.73833300000001,32.325556,"Wikipedia (http://en.wikipedia.org/wiki/Shakespeare,_New_Mexico)

Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Buildings_in_Shakespeare%2C_New_Mexico.jpg/800px-Buildings_in_Shakespeare%2C_New_Mexico.jpg
107,"Shasta, CA",-122.49146499999999,40.598374,"Background info from Shasta State Park (http://www.parks.ca.gov/?page_id=456)


 
Zoom all the way in on the road to view the ruins in Street View.",
108,"Silver City, ID",-116.733056,43.016944,"Wikipedia (http://en.wikipedia.org/wiki/Silver_City,_Idaho)


Public Domain",http://upload.wikimedia.org/wikipedia/commons/d/dd/SilverCityID.jpg
109,"South Pass City, WY",-108.799722,42.468333,"Wikipedia (http://en.wikipedia.org/wiki/South_Pass_City,_Wyoming)

Public Domain",http://upload.wikimedia.org/wikipedia/en/thumb/e/e2/SouthPassCityWY1870.PNG/800px-SouthPassCityWY1870.PNG
110,"St. Elmo, CO",-106.345,38.704722,"Wikipedia (http://en.wikipedia.org/wiki/St._Elmo,_Colorado)

Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Co_goosttown_st_elmo1.jpg/800px-Co_goosttown_st_elmo1.jpg
111,"St. Thomas, NV",-114.370015,36.467232,"Wikipedia (http://en.wikipedia.org/wiki/St._Thomas,_Nevada)


Wikipedia Commons / Jkotto (http://commons.wikimedia.org/w/index.php?title=User:Jkotto&action=edit&redlink=1)",http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/St._Thomas%2C_NV_Building_Foundation.JPG/800px-St._Thomas%2C_NV_Building_Foundation.JPG
112,"Stiles, TX",-101.56611099999999,31.406944,"Wikipedia (http://en.wikipedia.org/wiki/Stiles,_Texas)


Wikipedia Commons / BlueSteel75 (http://en.wikipedia.org/wiki/User:BlueSteel75)",http://upload.wikimedia.org/wikipedia/commons/2/29/Stiles_Courthouse2.jpg
113,"Stotesbury, WV",-81.28871099999999,37.68166,"Wikipedia (http://en.wikipedia.org/wiki/Stotesbury,_West_Virginia)",
114,Superconducting Super Collider,-96.94454,32.36463,"Wikipedia (http://en.wikipedia.org/wiki/Superconducting_Super_Collider)

Cracked.com: The 6 most Mind Blowing Modern Ghost Towns (http://www.cracked.com/article_19617_the-6-most-mind-blowing-modern-ghost-towns_p2.html)



Wikipedia Commons / Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ssc_mdl.JPG/800px-Ssc_mdl.JPG
115,"Tahawus, NY",-74.05111099999999,44.050556,"Wikipedia (http://en.wikipedia.org/wiki/Tahawus,_New_York)",
116,"Temple, ND",-103.056017,48.388975,"Wikipedia (http://en.wikipedia.org/wiki/Temple,North_Dakota)",
117,"Terlingua, TX",-103.615959,29.321702000000002,"Wikipedia (http://en.wikipedia.org/wiki/Terlingua,_Texas)",
118,"Thurmond, WV",-81.081772,37.961034000000005,"Wikipedia (http://en.wikipedia.org/wiki/Thurmond,_West_Virginia)",
119,"Times Beach, MO",-90.602355,38.5087,"Eureka, MO 63025 (http://en.wikipedia.org/wiki/Times_Beach,_Missouri)",
120,"Tremont, IN",-87.043611,41.648610999999995,"Wikipedia (http://en.wikipedia.org/wiki/Tremont,_Indiana)",
121,"Tyrone, NM",-108.32541699999999,32.641806,"Wikipedia (http://en.wikipedia.org/wiki/Tyrone,_New_Mexico)

Public Domain",http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Tyrone_New_Mexico_1940.jpg/800px-Tyrone_New_Mexico_1940.jpg
122,"Virginius Island, WV",-77.735159,39.321044,Wikipedia (http://en.wikipedia.org/wiki/Virginius_Island),
123,"Vishnu Springs, IL",-90.893746,40.431987,"Wikipedia (http://en.wikipedia.org/wiki/Vishnu_Springs,_Illinois)",
124,Vulture Mine,-112.835948,33.815427,"Wikipedia (http://en.wikipedia.org/wiki/Vulture_Mine,_Arizona)


Wikipedia Commons / Andwhatsnext (http://commons.wikimedia.org/wiki/User:Andwhatsnext), aka Nancy Price",http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Vulture-gold-mine-maricopa.JPG/800px-Vulture-gold-mine-maricopa.JPG
125,"Wheelock, ND",-103.2525,48.296389000000005,"Wikipedia (http://en.wikipedia.org/wiki/Wheelock,_North_Dakota)",
126,"Whitewash Village, MA",-69.993998,41.55927,"Wikipedia (http://en.wikipedia.org/wiki/Whitewash_Village,_Massachusetts)",
127,"Wonderland, OH",-82.87083299999999,40.002778,"Wikipedia (http://en.wikipedia.org/wiki/Wonderland,_Ohio)",
128,"Gunsmoke Movie Set Ruins, Johnson Canyon, Utah",-112.37958799999998,37.115358,"Wikipedia (http://en.wikipedia.org/wiki/Gunsmoke)

Gunsmoke is an American radio and television Western drama series created by director Norman MacDonnell and writer John Meston. The stories take place in and around Dodge City, Kansas, during the settlement of the American West. The central character is lawman Marshal Matt Dillon, played by William Conrad on radio andJames Arness on television. When aired in the UK, the television series was initially titled Gun Law.,[1] later reverting to Gunsmoke[2]

 

Google Map / Panoramio / www.galenbeck.de (http://www.panoramio.com/user/3240777?with_photo_id=63450731)",http://static.panoramio.com/photos/large/63450731.jpg
